Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,13507.93,2603.68,258000.00,46,0,4,0,0,0,52,0,6,0.04,600
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1466393.27,98368.88,973250.00,579,0,109,0,211,0,440,0,29,0.8347216120140423,4068
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,210863.45,38557.66,1801250.00,530,0,0,0,8,0,517,0,12,0.9763912310286678,7116
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,47778.99,768615.81,14890300.00,731,10,0,67,0,71,0,740,91,0.9143628282483237,8736
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,297590.78,297351.46,15553800.00,632,0,109,0,29,0,718,0,93,0.9047514647470682,8640
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,37090.66,540239.67,16129100.00,629,18,0,32,0,29,0,758,91,0.9127756393106997,8460
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,33447.34,581456.27,16898000.00,688,17,0,76,0,44,0,746,92,0.917567225994824,8424
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,32467.29,475231.53,17900400.00,605,16,0,11,0,30,0,672,91,0.9306830022333797,8520
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,89702.13,561756.37,19830800.00,613,60,0,28,0,35,0,752,93,0.8955379892786548,9024
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,673564.63,0.00,0,464,0,172,0,68,0,409,6,1.444580837841876,3228
